"ServiceName","ResourceName","ResourceGroup","TlsVersion","Location","AdditionalInfo"
"Azure App Service","navaidslab","tino-eus2-rg-dev-01","1.2","East US","DefaultHostName: navaidslab.azurewebsites.net; Sku: ; State: Stopped"
"Azure App Service","asi-dev","swsf-eus2-rg-dev-01","1.2","East US 2","DefaultHostName: asi-dev.azurewebsites.net; Sku: ; State: Stopped"
"Azure App Service","portal-empleo-dev","swsf-eus2-rg-dev-01","1.2","East US 2","DefaultHostName: portal-empleo-dev.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","ahorro-pre","swsf-eus2-rg-dev-01","1.2","East US 2","DefaultHostName: ahorro-pre.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","ahorro-dev","swsf-eus2-rg-dev-01","1.2","East US 2","DefaultHostName: ahorro-dev.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","beneficios-dev","swsf-eus2-rg-dev-01","1.2","East US 2","DefaultHostName: beneficios-dev.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","as-jobs-app-acp","mira-eus2-rg-dev-01","1.2","East US 2","DefaultHostName: as-jobs-app-acp.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","as-playback-acp","mira-eus2-rg-dev-01","1.2","East US 2","DefaultHostName: as-playback-acp.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","as-jobs-api-acp","mira-eus2-rg-dev-01","1.2","East US 2","DefaultHostName: as-jobs-api-acp.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","as-miraapp-acp","mira-eus2-rg-dev-01","1.2","East US 2","DefaultHostName: as-miraapp-acp.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","whisper-eus2-fn-dev-01","opwhisper_eus2_rg_dev_01","1.2","East US 2","DefaultHostName: whisper-eus2-fn-dev-01.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","vcard-eus2-fn-dev-01","vcard-eus2-rg-dev-01","1.2","East US 2","DefaultHostName: vcard-eus2-fn-dev-01.azurewebsites.net; Sku: ; State: Running"
