"ModuleName","CurrentVersion","LatestVersion","NeedsUpdate","Repository"
"Az","13.5.0","14.3.0","True","PSGallery"
"Az.Accounts","4.2.0","5.2.0","True","PSGallery"
"Az.Aks","6.1.1","7.0.0","True","PSGallery"
"Az.AppConfiguration","1.4.1","2.0.0","True","PSGallery"
"Az.Cdn","3.3.1","5.0.0","True","PSGallery"
"Az.Compute","9.3.0","10.2.0","True","PSGallery"
"Az.CosmosDB","1.18.0","1.18.2","True","PSGallery"
"Az.DataFactory","1.19.2","1.19.4","True","PSGallery"
"Az.DataLakeStore","1.4.0","1.5.0","True","PSGallery"
"Az.DevCenter","2.0.1","2.0.2","True","PSGallery"
"Az.ElasticSan","1.4.0","1.4.1","True","PSGallery"
"Az.EventHub","5.2.0","5.4.0","True","PSGallery"
"Az.Functions","4.2.0","4.2.1","True","PSGallery"
"Az.ManagedServiceIdentity","1.3.1","2.0.0","True","PSGallery"
"Az.ManagedServices","3.1.0","3.1.2","True","PSGallery"
"Az.Migrate","2.7.0","2.9.0","True","PSGallery"
"Az.Monitor","6.0.2","6.0.3","True","PSGallery"
"Az.MySql","1.3.0","1.5.0","True","PSGallery"
"Az.Network","7.16.1","7.19.1","True","PSGallery"
"Az.NetworkCloud","1.1.0","1.2.0","True","PSGallery"
"Az.Nginx","1.2.0","1.2.1","True","PSGallery"
"Az.Oracle","1.1.0","1.2.0","True","PSGallery"
"Az.PostgreSql","1.2.0","1.4.0","True","PSGallery"
"Az.RecoveryServices","7.7.0","7.8.0","True","PSGallery"
"Az.RedisEnterpriseCache","1.4.1","1.5.0","True","PSGallery"
"Az.Relay","2.1.0","2.1.2","True","PSGallery"
"Az.Resources","7.11.0","8.1.0","True","PSGallery"
"Az.ServiceFabric","3.5.0","3.6.0","True","PSGallery"
"Az.Sql","6.0.3","6.0.5","True","PSGallery"
"Az.StackHCI","2.5.0","2.6.1","True","PSGallery"
"Az.Storage","8.4.0","9.1.0","True","PSGallery"
"Az.StorageSync","2.5.0","2.5.1","True","PSGallery"
"Az.Synapse","3.2.1","3.2.2","True","PSGallery"
"Microsoft.Graph","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.Applications","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.Authentication","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.BackupRestore","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.Bookings","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.Calendar","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.ChangeNotifications","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.CloudCommunications","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.Compliance","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.CrossDeviceExperiences","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.DeviceManagement","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.DeviceManagement.Administration","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.DeviceManagement.Enrollment","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.DeviceManagement.Functions","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.Devices.CloudPrint","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.Devices.CorporateManagement","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.Devices.ServiceAnnouncement","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.DirectoryObjects","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.Education","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.Files","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.Groups","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.Identity.DirectoryManagement","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.Identity.Governance","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.Identity.Partner","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.Identity.SignIns","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.Mail","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.Notes","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.People","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.PersonalContacts","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.Planner","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.Reports","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.SchemaExtensions","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.Search","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.Security","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.Sites","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.Teams","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.Users","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.Users.Actions","2.27.0","2.30.0","True","PSGallery"
"Microsoft.Graph.Users.Functions","2.27.0","2.30.0","True","PSGallery"
"SqlServer","22.3.0","22.4.5.1","True","PSGallery"
